"comarca","delegacio"
"Alt Penedès","Barcelona"
"Anoia","Barcelona"
"Bages","Barcelona"
"Baix Llobregat","Barcelona"
"Barcelonès","Barcelona"
"Berguedà","Barcelona"
"Cerdanya","Barcelona"
"Garraf","Barcelona"
"Maresme","Barcelona"
"Moianès","Barcelona"
"Osona","Barcelona"
"Vallès Occidental","Barcelona"
"Vallès Oriental","Barcelona"
"Alt Empordà","Girona"
"Baix Empordà","Girona"
"Garrotxa","Girona"
"Gironès","Girona"
"Pla de l'Estany","Girona"
"Ripollès","Girona"
"Selva","Girona"
NA,"Girona"
"Alta Ribagorça","Lleida"
"Alt Urgell","Lleida"
"Garrigues","Lleida"
"Noguera","Lleida"
"Pallars Jussà","Lleida"
"Pallars Sobirà","Lleida"
"Segarra","Lleida"
"Segrià","Lleida"
"Solsonès","Lleida"
"Urgell","Lleida"
"Val d'Aran","Lleida"
"Alt Camp","Tarragona"
"Baix Camp","Tarragona"
"Baix Penedès","Tarragona"
"Conca de Barberà","Tarragona"
"Priorat","Tarragona"
"Tarragonès","Tarragona"
"Baix Ebre","Terres de l'Ebre"
"Montsià","Terres de l'Ebre"
"Ribera d'Ebre","Terres de l'Ebre"
"Terra Alta","Terres de l'Ebre"
